# HPE (HPE) 10-Q filed 2026-09-03 — XBRL segment revenue and customer concentration
# source label: HPE 10-Q (09-03-2026)

## XBRL segment revenue (10-Q; revenue by business segment, as filed)
- Campus & Branch: $1.44B (quarter 2026-05-01 to 2026-07-31), +31.0% YoY vs $1.10B (period ending 2025-07-31)
- Data Center Networking: $382.0M (quarter 2026-05-01 to 2026-07-31), +112.2% YoY vs $180.0M (period ending 2025-07-31)
- Security: $281.0M (quarter 2026-05-01 to 2026-07-31), +75.6% YoY vs $160.0M (period ending 2025-07-31)
- Routing: $788.0M (quarter 2026-05-01 to 2026-07-31), +270.0% YoY vs $213.0M (period ending 2025-07-31)
- Networking: $2.89B (quarter 2026-05-01 to 2026-07-31), +74.9% YoY vs $1.65B (period ending 2025-07-31)
- Server: $6.77B (quarter 2026-05-01 to 2026-07-31), +35.3% YoY vs $5.00B (period ending 2025-07-31)
- Storage: $1.29B (quarter 2026-05-01 to 2026-07-31), +10.2% YoY vs $1.17B (period ending 2025-07-31)
- Financial Services: $883.0M (quarter 2026-05-01 to 2026-07-31), -0.3% YoY vs $886.0M (period ending 2025-07-31)
- Other: $102.0M (quarter 2026-05-01 to 2026-07-31), -34.2% YoY vs $155.0M (period ending 2025-07-31)
- Cloud & AI: $9.04B (quarter 2026-05-01 to 2026-07-31), +25.4% YoY vs $7.21B (period ending 2025-07-31)
- Corporate Investments and Other: $278.0M (quarter 2026-05-01 to 2026-07-31), +3.0% YoY vs $270.0M (period ending 2025-07-31)
