company,flag,evidence,source,owner_ruling
Amazon Web Services,1,"Trainium2 is largely SOLD OUT; Trainium3 NEARLY FULLY SUBSCRIBED; much of Trainium4 already reserved",Amazon Q1 FY2026 (04-29-2026),clear
CoreWeave,1,"largely sold out of near-term capacity; 2027 capacity already being allocated",CoreWeave Q1 FY2026 (05-08-2026),clear
Nebius,1,"everything it builds is sold out; sold out of capacity",Nebius Q1 FY2026 (05-13-2026),clear
Oracle,1,"AI infrastructure revenue +243% YoY with demand exceeding supply",Oracle Q3 FY2026 (03-10-2026),approved (cloud capacity)
Jabil,1,"demand outstrips supply for complex rack/server integration",Jabil Q2 FY2026 (03-18-2026),approved (integration capacity)
Dell,1,"AI server demand outstripping supply with record $51.3B AI backlog",Dell Q1 FY2027 (05-28-2026),approved (despite 'capacity is not the limit - it's parts')
Intel,1,"Server CPU demand outpacing supply into 2027",Intel Q1 FY2026 (04-23-2026),clear
Seagate,1,"nearline HDD capacity almost fully allocated through CALENDAR 2027",Seagate Q3 FY2026 (04-28-2026),clear
Micron,1,"NAND demand significantly exceeds available supply",Micron Q2 FY2026 (03-18-2026),clear
IREN,1,"ALL operational capacity is fully contracted",IREN Q3 FY2026 (05-07-2026),clear
Lumentum,1,"components (EMLs) remain effectively sold out for the foreseeable future",Lumentum Q3 FY2026 (05-05-2026),clear
GlobalFoundries,1,"Vermont fab oversubscribed well into 2027",GlobalFoundries Q1 FY2026 (05-05-2026),clear
Vicor,1,"expects to remain CAPACITY CONSTRAINED for a substantial timeframe",Vicor Q1 FY2026 (04-21-2026),clear
TSMC,1,"still our supply is very tight; advanced packaging capacity VERY TIGHT also",TSMC Q1 FY2026 (04-16-2026),clear
Arista,1,"demand is outstripping supply in 2026",Arista Q1 FY2026 (05-05-2026),approved (component-shortage context)
ASE Group,1,"wafer-sort prioritized (capacity/facility tight)",ASE Group Q1 FY2026 (04-29-2026),approved (terse wording)
Fabrinet,1,"supply constrained across lasers/memory/ASICs; revenue well below demand",Fabrinet Q3 FY2026 (05-04-2026),approved (input-driven)
