SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2376_27_20260515_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-15-2026
QUARTER: Q1 FY2026
# source label: Gigabyte Q1 FY2026 (05-15-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 907   characters: 11,191

---
[00:13] 歡迎各位投資先進參加技嘉科技股份有限公司
[00:17] 線上法人說明會
[00:19] 首先為各位介紹今天代表初期的經營團隊
[00:22] 在線上的有集團總經理李怡泰
[00:26] 集團總經理林英總經理肖文達
[00:31] 以及發言人劉文忠
[00:33] 接下來法說會正式開始
[00:36] 首先邀請李怡泰總經理致辭
[00:38] 謝謝各位前進來參加這次
[00:42] 把技嘉科技的專會
[00:45] 我們用很多資訊
[00:48] 建國在這個
[00:50] 對人進行報告
[00:52] 幫我們兼顧一下
[00:53] 開始的法人說明會
[00:57] 謝謝李總經理
[01:00] 接著請劉發言人進行講
[01:03] 各位投資先進大好
[01:05] 是技嘉科技藝班人劉文忠
[01:07] 那再再次為各位報告一下
[01:10] 第一季度的財務報告
[01:14] 那首先是明澤森明
[01:16] 本檢報由技嘉科技股份有限公司技嘉準備
[01:19] 由於使用不同的假設或不同的標準
[01:21] 本檢報中表達的任何意見
[01:24] 如或有更改
[01:25] 數不令行公知
[01:26] 技嘉沒有義務更進貨保持持
[01:28] 速報和的資訊的追星
[01:30] 對於本檢報的準確性或反省性
[01:32] 本公司將來或現在或將來
[01:34] 不會做出任何明智或暗示的審視或保證
[01:38] 也不承擔任何責任或義務
[01:39] 因此課時明確表示任何責任否認
[01:44] 本檢訴中的陳述包
[01:46] 包括潛單性陳述其中包括
[01:48] 但不限於有關技嘉的問題
[01:50] 計畫和期望的陳述
[01:52] 潛單性陳述反映的管理層
[01:53] 對未來營運的計畫和目標
[01:56] 對未來事件和未來經濟表現的當前看法
[01:59] 以及對各種財務狀況的預測
[02:01] 這些潛單性陳述
[02:03] 陳述涉及影子和位置的風險
[02:05] 不確定性和其他影子
[02:06] 可能導致
[02:07] 結果實際結果與此類的潛單性陳述
[02:10] 明智或暗示的結果有重大差異
