# Lumentum (LITE) 10-Q filed 2026-05-06 — XBRL segment revenue and customer concentration
# source label: Lumentum 10-Q (05-06-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer A: 26% of revenue, period 2025-12-28 to 2026-03-28
- Customer B: 12% of revenue, period 2025-12-28 to 2026-03-28
- Customer One: 13% of accounts receivable, period 2024-06-30 to 2025-06-28
- Customer One: 25% of accounts receivable, period 2025-06-29 to 2026-03-28
- Customer One: 17% of revenue, period 2024-12-29 to 2025-03-29
- Customer One: 16% of revenue, period 2024-06-30 to 2025-03-29
- Customer One: 24% of revenue, period 2025-06-29 to 2026-03-28
- Customer Three: 10% of accounts receivable, period 2025-06-29 to 2026-03-28
- Customer Three: 10% of revenue, period 2024-06-30 to 2025-03-29
- Customer Two: 11% of accounts receivable, period 2024-06-30 to 2025-06-28
- Customer Two: 14% of revenue, period 2024-06-30 to 2025-03-29
- Customer Two: 15% of revenue, period 2024-12-29 to 2025-03-29
- Customer Two: 16% of revenue, period 2025-06-29 to 2026-03-28
