SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://flv.ccdntech.com/vod/_definst_/mp4:vod160/Unimicron/202907291.mp4/playlist.m3u8
VIDEO TITLE: replay
CALL DATE: 07-29-2026
QUARTER: Q2 FY2026
# source label: Unimicron Q2 FY2026 (07-29-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2697   characters: 17,480

---
[00:00] 時間會出我想
[00:02] 首先各位
[00:04] 國際界媒體的朋友大家下午好
[00:06] 歡迎大家參加我們
[00:08] 2026 新興電子的法人眾議會
[00:12] 然後小社會開始前
[00:14] 都會介紹一下我們媒體的主角
[00:18] 首先是我們的發言人
[00:20] 紀財務長
[00:21] 吳建文 先生 副總
[00:23] 各位投資先進
[00:25] 大家下午好
[00:26] 還有我們的媒體朋友
[00:29] 還有是我們的行銷長
[00:35] 朱莉亞 直升副總
[00:37] 各位朋友先進大家好
[00:39] 歡迎大家來到我們的
[00:41] 社會機械
[00:43] 我想我們今天的會議進行
[00:45] 會更成三個階段
[00:47] 首先會有媒體跟各位
[00:49] 介紹一下我們第二季的營運成果
[00:51] 接下來賓生
[00:53] 會幫我們補充說
[00:55] 你台湖相關的一些細箱資料
[00:57] 最後是QA的階段
[00:59] 會有賓生跟朱莉亞共同組織
[01:02] 我想面臨這樣
[01:05] 我就先報告我們第二季的財務概況
[01:14] 首先我們第二季的字節數字
[01:19] 合併營收從上一季的
[01:21] 374.5億
[01:23] 成長至128.9億
[01:25] 順暢利率從上一季
[01:27] 18%上升至24.8%
[01:30] 總額的綜合選率
[01:36] 第二季合併營收
[01:38] 上季增加約15%
[01:40] 較去年同期增加約32%
[01:44] 毛利金額106.4億
[01:46] 較上季增加約58%
[01:49] 較去年同期增加約151%
[01:53] 重破待致體列約1.9億
[02:00] 而上季體列約為3.8億
[02:03] 另外營業費用40億
[02:06] 費用率為9.3%
[02:08] 較上季增加約1千萬
[02:12] 其中推銷費用約在4.3億
[02:15] 較上季減少約8千萬
[02:18] 管理費用約在19.4億
[02:21] 較上季增加約4千萬
[02:23] RD費用約在16.4億
[02:27] 較上季增加約5千萬
[02:30] 加上合本業相關的其他費用
[02:34] 合併營業利益66.5億
[02:37] 營業經歷率為15.5%
[02:40] 本季業外淨益89.3億
[02:44] 集團稅前淨益約為155.8億
[02:48] 其中業外部分
[02:50] 金融資產利益本季約為92.1億
[02:54] 上季責約25.1億
[02:58] 貴稅損失約0.4億
[03:01] 上季貴稅利益責約2.3億
[03:05] 減損損失13.7億
[03:09] 主要體列FPC及蓄益草的減損
[03:13] 貸出售非流動資產處分利益5.6億
[03:17] 利息淨收入2.2億
[03:21] 省利益的所得稅約22.3億
[03:25] 稅率約為14%
[03:29] 本期合併淨益133.4億
[03:33] 淨利益屬於公司業主金額為131.2億
[03:39] 第二季稅後基本益股盈餘為8.45元
[03:43] 上益計為3.28元
[03:47] 2025年第二季為0.02元
[03:50] 截至2026年6月底
[03:56] 新興集團持有資現金集約
[04:00] 當現金約為931億
[04:03] 負債比為59.2%
[04:07] 淨益收賬款走轉天數從上季
[04:10] 69天減少至68天
[04:13] 淨存貨走轉天數從上季
[04:15] 55天增加至56天
[04:18] 現金流量部分
[04:25] 第二季單季則就語題
[04:27] 攤體金額約為51億
[04:30] 營業活動資淨金流入74.9億
[04:35] 單季投資與資本支出現金流出
[04:38] 62.1億
[04:40] 投資活動資淨錢淨流出
[04:43] 56.3億
[04:45] 投資活動資淨錢淨流入
[04:48] 263.8億
[04:50] 總季本季淨錢金不為增加
[04:53] 338億
[04:54] 與第一季相比
[04:59] 第二季營收上升15%
[05:02] 本季一產品平台營收比重部分
[05:06] ABS比重油49%
[05:09] 增加至52%
[05:11] 總金額較上季增加22%
[05:14] BT油10%
[05:16] 減少至9%
[05:18] 總金額較上季減少3%
[05:22] HBI營收比重維持27%
[05:25] 總金額較上季增加14%
[05:29] 傳統PCB營收比重油11%
[05:32] 減少至9%
[05:34] 總金額較上季減少20%
[05:38] 軟板營收比重維持2%
[05:42] 總金額較上季增加90%
[05:45] 其他維持1%
[05:48] 相較2025年第二季
[05:51] ABS油46%增加至52%
[05:55] 總金額較去年同期增加51%
[05:59] BT油12%減少至9%
[06:03] 總金額較去年同期減少4%
[06:07] HBI營收比重維持27%
[06:11] 總金額較去年同期增加29%
[06:15] 傳統PCB營收比重油11%
[06:18] 減少至9%
[06:20] 總金額較去年同期增加14%
[06:25] 軟板營收比重油3%減少至2%
[06:30] 總金額較去年同期減少14%
[06:34] 其他部分維持1%
[06:36] 第一產品應用點來看
[06:43] 本季AI Data Center營收比重油
[06:46] 59%增加至61%
[06:49] 總金額較上季增加20%
[06:53] IoT油25%減少至24%
[06:57] 總金額較上季增加8%
[07:01] Concretation油6%減少至5%
[07:05] 總金額較上季減少11%
[07:09] Otto營收比重油4%減少至3%
[07:13] 總金額較上季增加7%
[07:16] 商價2025年第二季
[07:21] AI Data Center營收比重油
[07:23] 47%增加至61%
[07:27] 總金額較去年同期增加71%
[07:31] IoT油32%減少至24%
[07:36] 總金額較去年同期減少3%
[07:40] Concretation油7%減少至5%
[07:44] 總金額較去年同期減少1%
[07:49] Otto油6%減少至3%
[07:52] 總金額較去年同期減少26%
[07:56] Tax部分2026年預計新台幣537億
[08:05] 以上為新鮮電子2026年第二季營運蓋控
[08:09] 接下來今天問答
[08:11] 謝謝Mandy對於第二季財報的說明
[08:18] 我這裡針對第二季的部分
[08:21] 我大概做個補充
[08:25] 針對第二季營收是428.9億人
[08:36] 相較第一季的374億人
[08:41] 大概成長14.5%
[08:45] 整體的毛利率
[08:48] 毛利是106.4億
[08:50] 相較第一季
[08:52] 67.3億
[08:54] 大概是成長58%
[08:57] 第二季的毛利率是24.8%
[09:02] 這部分主要是受惠AI GPU
[09:06] AI ASIC
[09:09] 高效能運算需求強勁
[09:13] 在AI高階應用訂單
[09:18] 佔比增加
[09:20] 產品組合改善
[09:22] 加上產能利用率
[09:25] 維持在高檔水準
[09:27] 推動毛利率目前的上升
[09:31] 最近因為原物料有成本上漲
[09:37] 我們也持續跟客戶保持密切溝通
[09:42] 適度調整產品售價
[09:44] 來反映相關成本的變動
[09:48] 第二季營業費用是40.1億
[09:55] 相較第一季39.9億相當
[09:59] 可是主要的占比是9.3%
[10:03] 有比較高
[10:04] 主要是因為泰國廠還沒有進入量產
[10:08] 相關的製造費用
[10:10] 轉列管理費用所導致
[10:14] 第一季則是因為
[10:16] 我們有辦理現金增資
[10:19] 任劣員工任股費用
[10:23] 第二季營業外收入
[10:28] 有89.3億元
[10:31] 這一部分
[10:32] 主要是IVERS-9的92.1億
[10:38] 利息收入8.9億
[10:41] 還有我們處分
[10:43] 服口廠的處分利益5.6億
[10:47] 同步我們也對於大陸的新銅派
[10:53] 我們對於它的固定資產
[10:55] 還有相關存貨
[10:57] 我們也做了減損13.7億元
[11:01] 相關的財務成本是6.6億元
[11:06] 今年第二季的稅後淨利
[11:11] 是133.4億
[11:13] 歸屬於母公司的淨利
[11:16] 是131.2億元
[11:19] IPS是8.45元
[11:22] 截至到6月底
[11:25] 為止負債比率是59%
[11:29] 今年7月
[11:31] 新興也完成海外存貨品證的資金目擊
[11:35] 合計是13.55億元
