SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2356_231_20260512_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-12-2026
QUARTER: Q1 FY2026
# source label: Inventec Q1 FY2026 (05-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1505   characters: 12,651

---
[00:43] 時間到 那我們開始
[00:46] 各位投資先進朋友午安 大家好
[00:49] 我是富邦投資為了下遊硬體的分析師Titan
[00:53] 歡迎大家參加今天音樂打股份遊戲公司
[00:57] 2026年第一季的法說會
[01:00] 那我們很榮幸的邀請到音樂團集團的
[01:04] 總經理蔡三先生Jack
[01:07] 還有企業電腦事業群的群總經理
[01:11] 林書如先生 林森
[01:13] 還有個人電腦事業群群總經理
[01:15] 吳明先生Furmy
[01:17] 還有英華達總經理陳柏辰先生
[01:20] 以及音樂打集團財務長劉靜寶先生
[01:24] 來為大家解惑
[01:27] 那我們先請財務長劉靜寶先生
[01:29] 來為大家說明一下
[01:31] 音樂打整個第一季的財務報表
[01:34] 好 各位投資界的朋友們
[01:38] 大家午安 大家好
[01:40] 那首先依照網利我針對我們第一個季度
[01:45] 就是2026年第一個季度的
[01:47] 整個營運狀況先做一個說明
[01:50] 相關的資料應該都已經公告
[01:54] 公開資訊關責站
[01:56] 所以這邊我是會診的資料
[01:58] 那在2026年的一季
[02:01] 我們的營收是超過2000
[02:04] 來到2030
[02:08] 2003億
[02:11] 基本上這個是我們進來的一個季度的新高
[02:15] 那相對於去年的第四季是
[02:18] 有17%的一個成長
[02:21] 那在去年的第一季的成長平就更高
[02:24] 相對於去年第一季的話
[02:26] 有將近28%的一個成長
[02:29] 那因為整個的毛利的部分
[02:34] 毛利率跟毛利金的部分
[02:36] 受到整個產品組合
[02:39] 銷售組合的影響
[02:40] 這個不僅是大象的組合
[02:43] 也包含到來到產品細箱的組合
[02:47] 會有些血差異
[02:48] 那這一部分我待會兒在
[02:50] 下一個頁是在做說明
[02:52] 那毛利是第一季是101億
[02:57] 那整個費用的部分
[03:00] 65億
[03:02] 那營業利盡力就是
[03:05] 營業利率是1.8
[03:08] 這個跟上一期是有些血變動
[03:12] 那最主要也是說
[03:13] 在毛利率的變動跟營業費用
[03:16] 也受到我們整個
[03:18] 海外的一個
[03:20] 包含國內的部分
[03:22] 就整個生產機率的不斷的擴建
[03:25] 那這中間的過程
[03:27] 也除了帶來營收的增加之外
[03:29] 再費用的增加
[03:30] 也隨著佔金的拉廠
[03:32] 而有所增加
[03:33] 那頁外的話
[03:35] 跟去年第四季的一個差異
[03:39] 就大概是受到了說
[03:43] 今年對於說頁外投資的
[03:46] 處分的部分的差異
[03:47] 所以今年的第一季是
[03:50] Malas的3億
[03:52] 那去年
[03:54] 去年第一季的話
[03:57] 兩邊的一個改變的幅度
[03:59] 相對更大
[04:01] 那今年的第一季是
[04:04] EBS是0.68
[04:07] 那比第四季的0.57
[04:12] 來得更加的改善
[04:15] 那去年第一季的0.47
[04:19] 更加明顯
[04:21] 那我們看下一個頁次
[04:23] 這是一個產品營收的趨勢的看
[04:29] 由這個圖來簡單看起來
[04:32] 基本上它的一個比率的構造
[04:36] 會跟去年的第一季會比較相近
[04:40] 那跟第四季的會有一些差異
[04:45] 那這也是因此說在
[04:50] 毛利端會有影響
[04:52] 那因為我們去年的第一季的毛率相當的高
[04:56] 那今年的第一季
[04:58] 因為受到一個大象組合
[05:01] 跟氣象部分的出貨形態的不同
[05:05] 所以跟去年的第四季是有差異的
[05:11] 那由這個圖加看起來
[05:13] 今年的其實整個看來
[05:17] PC的就是比電的這部分的占比
[05:20] 在第一季是降低的
[05:22] 那在伺服器這一端
[05:24] 伺服器這一端的占比是增加的
[05:27] 這個圖很明顯的可以看得出來
[05:29] 那也因此下一個頁期
[05:31] 我們看到的是毛利率的一個變化
[05:34] 那組合跟第一季是相當
[05:37] 但是毛利率都因為受到比例相當
[05:44] 但是因為組合的內容不大一樣
[05:47] 去年的尤其是在伺服器這一端
[05:51] 出貨的形態裡面的細項的部分的組合
[05:56] 那就有所差異
[05:59] 那今年的第一季的2,003億的一個
[06:03] 算是歷史的
[06:05] 因為近期的一個新高的部分
[06:07] 最主要一個是關鍵領土建有些有漲價
[06:12] 那是漲價帶來的營收的增加
[06:15] 另外一個是客戶需求的提早反應
[06:19] 所以在第1季我們僅在3月份
[06:23] 甚至是在第一個季度
[06:25] 我們也有一些歷史新高的
[06:28] 營收的一個紀錄的地藏
[06:31] 那這個組合
[06:36] 在今年度可能都會比較類似
[06:40] 這個第一個季度的一個狀況的組合
[06:44] 會延續下去
[06:47] 這個延續下去可能會帶來營收
[06:51] 營收是成長的力道會大過
[06:54] 就是收入的影響會大過比率的影響
[07:00] 這個可能比率的組合還是會受到
[07:03] 些許的影響
[07:05] 那另外費用的部分
[07:08] 我們費用現在整個
[07:14] 一個季度大概都是約略在65億左右
[07:18] 以一個整個生產線的擴展
[07:23] 那還有設備研發設備等等的
[07:27] 一個更新的狀況
[07:29] 持續由這個線圖來看
[07:32] 增加的幅度是不大
[07:34] 但是就是近期尤其今年度
[07:37] 整個的擴建的部分
[07:40] 在今年年度告一個斷落之後
[07:46] 這個整個的費用發展
[07:48] 就會比較明顯的穩定
[07:50] 不過這個在這邊看來也差不大
[07:54] 那營業利益這一端
[07:56] 營業利益率
[07:57] 就是我們看到營業利益率
[07:59] 我剛才有稍微提了一下
[08:01] 基本上是受到毛利益率的一個變
[08:04] 動它的影響會來的大
[08:07] 那相較於去年的第四季
[08:09] 我們在今年的第一季
[08:13] 也有所改善
[08:14] 現在來到了一個
[08:15] 營業利益率來到1.8的一個範圍
[08:19] 那大家比較關切到的就是
[08:23] 營業利益率的維持
[08:26] 利益率的一個維持
[08:28] 那我們之前在目標上面
[08:30] 我們希望是往這個
[08:33] 年初就是去年年初
[08:37] 這個值的方面
[08:40] 希望是有不同的一個
[08:46] 改善措施來提升
[08:50] 我們在營業利益這一段的表現
[08:52] 那另外一個業外的部分
[08:54] 有幾個季度的表現來看
[08:57] 我們很明顯的就是
[09:00] 其實在最主要影響的
[09:04] 還是一個利息費用跟兌換的部分
[09:09] 那兌換的部分
[09:10] 在今年的匯率的變化
[09:13] 跟去年第四季的一個狀況
[09:15] 今年的影響程度
[09:17] 第一屆影響的部分是比較小
[09:18] 雖然我們現在整個的全球的佈局
[09:22] 會影響到我們的匯率
[09:25] 兌換的部分已經閉腫
[09:28] 總顏越來越多了
[09:29] 不僅是美金對台幣
[09:31] 美金對太租
[09:32] 甚至過去的美金對人民幣
[09:35] 這個組合越來越複雜
[09:37] 那基本上在今年的第一季
[09:39] 我們是正數的4.76億
[09:42] 那利息
[09:44] 就財務成本利息費用方面
[09:46] 這個逐漸降低
[09:49] 那這個最主要也是
[09:52] 隨著跟這個費的FED的
[09:54] 一個降息的一個節奏
[09:57] 比較有相關性
[09:59] 那今年這個FED的降息程度
[10:04] 也因此說我們在利息費用
[10:07] 現在的有比去年第四季
[10:10] 減少了將近兩億
[10:12] 不過因為降息
[10:13] 帶來當然利息收入的部分
[10:15] 就是我們理財產品等等
[10:17] 其他必檢出等等
[10:18] 其他的一個操作
[10:20] 當然那帶來的因素
[10:21] 也稍微少一點
[10:22] 那綜合來看的話
[10:24] 今年的第一季是
[10:27] 0.8億是Miles的3.08億
[10:31] 那在有一個
[10:38] 其他利益的部分
[10:40] 跟上一季的差異的比
[10:42] 我想這個就是
[10:43] 大概我們在處分我們一個投資
[10:46] 處分投資的過程中
[10:48] 今年的進額的部分
[10:52] 比跟去年的4.7億
[10:55] 中間那個差
[10:56] 大概就是處分投資的部分
[10:58] 那下一個FED要表達的是
[11:00] 資產部在於
[11:02] 比較要提出來說明說
[11:06] 我們在負存方面
[11:07] 負存方面
[11:08] 能染是在一個持續的增加
[11:12] 基本上在3月份跟4月份
[11:16] 我們都是3月份
[11:17] 是來到了歷史的新高
[11:19] 那整個為了一個
[11:22] 備待一個狀況
[11:23] 那當然負存高
[11:26] 對我們來講
[11:27] 也遞造了一些
[11:29] 營收的一個新高
[11:31] 雖然這個
[11:34] 負存增加
[11:36] 其實另一方面
[11:37] 也可能會帶來的是
[11:39] 資金方面運用的壓力
[11:41] 但是這個動能
[11:44] 還是要靠負存備足
[11:46] 然後來創造營收
[11:47] 來cover我們這些
[11:49] 業外費用的一個負擔
[11:51] 那負債比率方面
[11:55] 些許的增加
[11:57] 下一個page
[12:00] 負債比率有些許的增加
[12:02] 那當然流動比率
[12:03] 這個會造成這個比率變動
[12:05] 大概也是我在
[12:07] 剛才提的是負存增加
[12:10] 這個的影響程度來
[12:12] 但因為營收地高
[12:14] 創造新高
[12:15] 所以帶來的
[12:16] 絕對金額的增加
[12:18] 那也帶來資本報酬率
[12:19] 跟股東權利報酬率的
[12:21] 一個提升
[12:22] 金額增加
[12:24] 對於整個的
[12:26] 報酬率方面的
[12:28] 幫忙是來得
[12:30] 更加的明顯
[12:31] 那以上是簡單的對
[12:35] 潮報
[12:37] 就是水利表的部分
[12:39] 跟什麼這樣一個簡單的說明
[12:41] 那不知道各位投資界的朋友們
[12:43] 對我們潮報表這一期的
[12:45] 整體的表現
[12:47] 有沒有
[12:49] 還是待會我們再一併的討論
[12:51] 好
[12:55] 非常謝謝財務長的子謝說明
[12:58] 那接下來我們就
[13:00] 直接來到Q&A的環節
[13:03] 那我請我們的Ivy
[13:04] 為大家解釋一下
[13:06] 我們提問的方式
[13:26] 我們這邊沒有聽到聲音
[13:32] 沒有 這邊講一下
[13:34] 就是如果各位投資界
[13:36] 有問題的話
[13:37] 可以使用板上的舉手功能
[13:40] 那如果比較害羞的呢
[13:41] 也可以用
[13:42] 問以答的對話裡面
[13:44] 列出您所想要問的問題
[13:47] 那如果可以的話
[13:48] 我們希望在各位先進投資朋友
[13:50] 問問題的時候
[13:51] 可以先說明一下各自
[13:53] 而各位來自的機構的名稱
[13:56] 再寫出問題
[13:57] 那我們會
[13:58] 一一唱名來幫各位
[14:01] 提供給各位口頭問
[14:03] 或者是
[14:04] 書面問題的這個機會
[14:07] 那我們在等待
[14:09] 現場投資朋友
[14:11] 先進朋友問題的時候
[14:12] 我這邊有先有
[14:14] 幾個問題想先
[14:15] 請問一下
[14:17] jax部分
[14:18] 第一個就是
[14:19] 大家比較關心的server的
[14:21] 這一個部分
[14:22] 那包括
[14:23] AI server
[14:24] 還有
[14:25] 多用型的server
[14:27] 那不知道公司對於
[14:29] 這兩個產品
[14:31] 今年度整年度
[14:33] 全年的
[14:34] 整個市場的成長率
[14:36] 是怎麼看待的呢
[14:38] 還有就是這兩個產品在
[14:40] 音樂達本身
[14:41] 我們
[14:42] 接下來的第二季
[14:44] 跟下半年或者是整年度
[14:46] 就是怎麼樣
[14:47] 看待跟指引
[14:49] 跟預估的呢
[14:50] 謝謝
[14:51] 我先先回答一下
[14:55] 其實整個在
[14:57] 音樂達的server上面有講
[14:59] 不管是通通型server
[15:00] 或是AI server來講
[15:01] 今年都是
[15:03] 成長的趨勢
[15:04] 成長比例不同而已
[15:05] 但是基本上都是成長的
[15:07] 就是整年度看起來
[15:09] 目前看起來相當不錯
[15:11] 那
[15:16] 整個全球的話
[15:18] 這裡這邊有沒有什麼看法
[15:21] 就是成長的
[15:23] 全球我是覺得
[15:24] 基本上
[15:25] 目前看起來就是
[15:27] 通用型server
[15:28] 其實是有點回來的
[15:30] over來講是有回來的
[15:32] 因為畢竟來講
[15:33] AI server run到一階段的時候
[15:35] 它還是要很多CPU用
[15:37] 所以現在報道集合看到就是
[15:38] 其實CPU的比例已經不是
[15:40] 像之前的說
[15:42] 1比8或1比4
[15:44] 我覺得我們看到的現象
[15:46] 是整個通用型server是有回來
[15:48] 目前來講一些大型的data center
[15:50] 是有回來的
[15:51] 那
[15:52] AI server其實還是一樣
[15:53] 我覺得還是持續在成長
[15:55] 整個目前外面市長
[15:57] 其實這兩個都是同時在成長
[16:01] 第二個問題是
[16:03] PC的部分
[16:05] 因為我們知道記憶體的漲價
[16:07] 或者是現在
[16:08] 可能陸續有一些 component
[16:10] 可能都有一些缺料的狀況產生
[16:12] 那不知道對於整個整體
[16:14] 全球PC的市場
[16:16] 今年度
[16:18] 我們是怎麼看的呢
[16:19] 還有就是音樂達本身在
[16:20] PC這一塊的segment
[16:22] 我們又是怎麼看的
[16:25] 其實整個PC以量來看的話
